M,K,N,block_x,block_y,time_taken_ms
1,784,256,17,12,0.03361701965332031
1,784,256,17,13,0.03361701965332031
1,784,256,17,14,0.03528594970703125
1,784,256,17,15,0.033855438232421875
1,784,256,17,16,0.03361701965332031
1,784,256,17,17,0.03409385681152344
1,784,256,17,18,0.03337860107421875
1,784,256,17,19,0.03314018249511719
1,784,256,17,20,0.03361701965332031
1,784,256,17,21,0.03314018249511719
1,784,256,17,22,0.03337860107421875
1,784,256,17,23,0.03361701965332031
1,784,256,17,24,0.03314018249511719
1,784,256,17,25,0.03337860107421875
1,784,256,17,26,0.03337860107421875
1,784,256,17,27,0.03337860107421875
1,784,256,17,28,0.03409385681152344
1,784,256,17,29,0.03337860107421875
1,784,256,17,30,0.045299530029296875
1,784,256,17,31,0.03314018249511719
1,784,256,17,32,0.032901763916015625
1,784,256,18,1,0.03314018249511719
1,784,256,18,2,0.03314018249511719
1,784,256,18,3,0.03337860107421875
1,784,256,18,4,0.03314018249511719
1,784,256,18,5,0.03314018249511719
1,784,256,18,6,0.032901763916015625
1,784,256,18,7,0.032901763916015625
1,784,256,18,8,0.03314018249511719
1,784,256,18,9,0.039577484130859375
1,784,256,18,10,0.03361701965332031
1,784,256,18,11,0.032901763916015625
1,784,256,18,12,0.03266334533691406
1,784,256,18,13,0.03337860107421875
1,784,256,18,14,0.032901763916015625
1,784,256,18,15,0.032901763916015625
1,784,256,18,16,0.032901763916015625
1,784,256,18,17,0.032901763916015625
1,784,256,18,18,0.032901763916015625
1,784,256,18,19,0.03314018249511719
1,784,256,18,20,0.03266334533691406
1,784,256,18,21,0.03314018249511719
1,784,256,18,22,0.032901763916015625
1,784,256,18,23,0.047206878662109375
1,784,256,18,24,0.03409385681152344
1,784,256,18,25,0.033855438232421875
1,784,256,18,26,0.03337860107421875
1,784,256,18,27,0.0457763671875
1,784,256,18,28,0.03314018249511719
1,784,256,18,29,0.03266334533691406
1,784,256,18,30,0.03314018249511719
1,784,256,18,31,0.03314018249511719
1,784,256,18,32,0.03314018249511719
1,784,256,19,1,0.03266334533691406
1,784,256,19,2,0.03337860107421875
1,784,256,19,3,0.032901763916015625
1,784,256,19,4,0.04076957702636719
1,784,256,19,5,0.03337860107421875
1,784,256,19,6,0.03337860107421875
1,784,256,19,7,0.03314018249511719
1,784,256,19,8,0.03314018249511719
1,784,256,19,9,0.03314018249511719
1,784,256,19,10,0.032901763916015625
1,784,256,19,11,0.03337860107421875
1,784,256,19,12,0.03266334533691406
1,784,256,19,13,0.032901763916015625
1,784,256,19,14,0.03314018249511719
1,784,256,19,15,0.03337860107421875
1,784,256,19,16,0.032901763916015625
1,784,256,19,17,0.03314018249511719
1,784,256,19,18,0.041484832763671875
1,784,256,19,19,0.03314018249511719
1,784,256,19,20,0.03314018249511719
1,784,256,19,21,0.03314018249511719
1,784,256,19,22,0.03314018249511719
1,784,256,19,23,0.03314018249511719
1,784,256,19,24,0.032901763916015625
1,784,256,19,25,0.03361701965332031
1,784,256,19,26,0.03361701965332031
1,784,256,19,27,0.03337860107421875
1,784,256,19,28,0.03337860107421875
1,784,256,19,29,0.03314018249511719
1,784,256,19,30,0.032901763916015625
1,784,256,19,31,0.03314018249511719
1,784,256,19,32,0.034809112548828125
1,784,256,20,1,0.03337860107421875
1,784,256,20,2,0.03337860107421875
1,784,256,20,3,0.032901763916015625
1,784,256,20,4,0.03337860107421875
1,784,256,20,5,0.03361701965332031
1,784,256,20,6,0.03337860107421875
1,784,256,20,7,0.032901763916015625
1,784,256,20,8,0.03337860107421875
1,784,256,20,9,0.032901763916015625
1,784,256,20,10,0.03314018249511719
1,784,256,20,11,0.032901763916015625
1,784,256,20,12,0.03337860107421875
1,784,256,20,13,0.03337860107421875
1,784,256,20,14,0.034332275390625
1,784,256,20,15,0.03314018249511719
1,784,256,20,16,0.03337860107421875
1,784,256,20,17,0.03314018249511719
1,784,256,20,18,0.032901763916015625
1,784,256,20,19,0.032901763916015625
1,784,256,20,20,0.03314018249511719
1,784,256,20,21,0.032901763916015625
1,784,256,20,22,0.032901763916015625
1,784,256,20,23,0.03314018249511719
1,784,256,20,24,0.03361701965332031
1,784,256,20,25,0.03337860107421875
1,784,256,20,26,0.03314018249511719
1,784,256,20,27,0.041484832763671875
1,784,256,20,28,0.032901763916015625
1,784,256,20,29,0.03314018249511719
1,784,256,20,30,0.03314018249511719
1,784,256,20,31,0.032901763916015625
1,784,256,20,32,0.03266334533691406
1,784,256,21,1,0.03337860107421875
1,784,256,21,2,0.03314018249511719
1,784,256,21,3,0.03337860107421875
1,784,256,21,4,0.03314018249511719
1,784,256,21,5,0.03337860107421875
1,784,256,21,6,0.03314018249511719
1,784,256,21,7,0.03314018249511719
1,784,256,21,8,0.03337860107421875
1,784,256,21,9,0.039577484130859375
1,784,256,21,10,0.03337860107421875
1,784,256,21,11,0.03337860107421875
1,784,256,21,12,0.03314018249511719
1,784,256,21,13,0.032901763916015625
1,784,256,21,14,0.03337860107421875
1,784,256,21,15,0.03266334533691406
1,784,256,21,16,0.03337860107421875
1,784,256,21,17,0.03361701965332031
1,784,256,21,18,0.03361701965332031
1,784,256,21,19,0.03337860107421875
1,784,256,21,20,0.03337860107421875
1,784,256,21,21,0.032901763916015625
